Character,ID,File,Context,English,简体中文
,100000,Room- Title,OnEnterRoom,Force HD Font (Y/N),N
Narr,0,Room- Title,NewGame,I'd jumped the car back in Breaker's Cut,我在Breaker's Cut扒上了货运车厢
Narr,1,Room- Title,NewGame,Told myself I'd never come back...,跟自己发过誓，再也不回这鬼地方……
Narr,2,Room- Title,NewGame,"But well, shit... Here I am",可他妈的……我还是回来了
,0,Room- Title,ContinueGame,Failed to restore game,读取存档失败
,1,Room- Title,ContinueGame,Ok,好
,2,Room- Title,Prop Description,New,新游戏
,3,Room- Title,Prop Description,Continue,继续
,4,Room- Title,Prop Description,Select chapter (For testing),选择章节（测试用）
,5,Room- Title,Hotspot Description,Start,开始
Narr,3,Room- BoxCar,OnWalkTo,"Oh shit, how am I getting out of here?",妈的，我要怎么才能出去？
Narr,4,Room- BoxCar,WakeUp,This must be me,这应该就是我
Mick,0,Room- BoxCar,WakeUp,Damn,该死
Narr,5,Room- BoxCar,WakeUp,Shouldn't have told Annie I'd come,就不该答应Annie我会来
Narr,6,Room- BoxCar,WakeUp,Don't know how she tracked down my number,真不知道她怎么翻出我号码的
Narr,7,Room- BoxCar,WakeUp,"My strong big sister, crying into the phone",我那个一向刚强的姐姐，在电话里哭
Mick,1,Room- BoxCar,WakeUp,Ah well,唉，算了
Narr,8,Room- BoxCar,OnInteractHotspotCracks,Familiar skyline peeks through the vents of the old reefer,熟悉的天际线从旧冷藏车厢的通风口里透进来
Narr,9,Room- BoxCar,OnInteractHotspotCracks,City hasn't changed much in the last... five years?,这城市这……五年？没怎么变
Narr,10,Room- BoxCar,OnInteractHotspotCracks,"Jeez, what am I gonna say to Sarah?",老天，我该跟Sarah说什么？
Mick,2,Room- BoxCar,OnInteractHotspotCracks,"Hey, sorry about, y'know...",嘿，那个……对不起啊
Mick,3,Room- BoxCar,OnInteractHotspotCracks,Disappearing for half a decade,一声不吭消失了五年
Mick,4,Room- BoxCar,OnInteractHotspotCracks,Ha... Jesus,哈……老天
,6,Room- BoxCar,OnInteractHotspotCracks,"Dark outside, but looks like I'm home",外面天还黑着，不过看样子是到家了
Mick,6,Room- BoxCar,Try opening door- First attempt,"Ok, time to ditch this old girl",行了，该跟这老姑娘告别了
Narr,11,Room- BoxCar,Try opening door- First attempt,I pull at the door,我拽了拽门
Narr,12,Room- BoxCar,Try opening door- First attempt,And it doesn't budge,纹丝不动
Mick,7,Room- BoxCar,Try opening door- First attempt,Great,好极了
,7,Room- BoxCar,Try opening door- First attempt,Old feller had been here when I hopped on. Bet he'll lend me a hand,我扒上车的时候这老家伙就在了。找他搭把手应该没问题
Narr,13,Room- BoxCar,Try opening door- Second attempt,"Putting my back into it this time, I strain against the frame",这回我整个人压上去，死命顶着门框
Narr,14,Room- BoxCar,Try opening door- Second attempt,Ain't getting that open without some help,没人帮忙是弄不开了
Narr,15,Room- BoxCar,Try opening door- Second attempt,Maybe I can shake the old fella awake,也许能把那老家伙摇醒
Narr,16,Room- BoxCar,Look out the open door (first time),"Squinting into the light I glimpse silhouettes of armed men, waiting and watching",我眯眼望向光里，瞥见一群持枪的人影，等着，盯着
Narr,17,Room- BoxCar,Look out the open door (first time),"Can't make out who they are, but not metro security, that's for sure",看不清是什么人，但绝不是铁路保安，这点能肯定
,8,Room- BoxCar,Look out the open door (first time),That flow hatch might be my only way out of here,那个通风舱口可能是我唯一的出路
,9,Room- BoxCar,Look out the open door (first time),Might be able to dive past the door,也许能从门口扑出去
,10,Room- BoxCar,Look out the open door (first time),"They're out there watching, how much time do I have?",他们就在外面盯着，我还剩多少时间？
Narr,18,Room- BoxCar,Look out the open door again,"Nope, not getting out that way",不行，那边出不去
Mick,8,Room- BoxCar,Look out the open door again,"Christ, what's going on?",老天，这到底怎么回事？
Narr,19,Room- BoxCar,OnInteractHotspotBed,"I've been sleeping rough long enough to get a good night's kip, despite the diesel fumes and the noise",我露宿的日子够久了，柴油味和噪音都挡不住我睡个好觉
Narr,20,Room- BoxCar,Look at the tarp,It's moving slightly,它在轻轻动
Narr,21,Room- BoxCar,Pull back the tarp,I stoop to pull back the tarp,我弯腰掀开防水布
Narr,22,Room- BoxCar,Pull back the tarp,Poor old guy had hardly stirred the whole trip. Sleeping off one thing or another,这可怜的老头一路上几乎没动过。不知道在睡什么东西的劲儿
Narr,23,Room- BoxCar,OnInteractHotspotPack,Everything I need's in there,我需要的东西全在里面
Narr,24,Room- BoxCar,OnInteractHotspotPack,So... not much,也就是说……没多少
Narr,25,Room- BoxCar,OnInteractHotspotPack,"My phone, wallet, change of undies and shaving kit so I can freshen up when I need to",手机、钱包、换洗内裤，还有刮胡刀，要拾掇的时候能用
Narr,26,Room- BoxCar,OnInteractHotspotPack,Plus the suit I borrowed for the funeral,还有为了葬礼借来的那套西装
,12,Room- BoxCar,OnInteractHotspotPack,Nothing in my pack I can use right now,包里没有现在用得上的东西
Narr,27,Room- BoxCar,Try getting to hatch,Can't get to it from here!,从这儿够不着！
Narr,28,Room- BoxCar,Look at the hatch,Did a stint working reefer cars like this,我干过一阵这种冷藏车厢的活
Narr,29,Room- BoxCar,Look at the hatch,You've gotta set those flow hatches just right or you'll have a car full of rotting fruit,那些通风舱口得调得刚刚好，不然一车水果全得烂掉
Narr,30,Room- BoxCar,Look at the hatch again,"I think about trying to get up there, but I'm sure I can get this door open",我想过爬上去，但这门我肯定弄得开
Narr,31,Room- BoxCar,Open train door- Guy gets shot,"I jam the bar into the frame, lean into it",我把铁棍塞进门框，整个人压上去
Narr,32,Room- BoxCar,Open train door- Guy gets shot,The door gives way with a screech,门吱呀一声让开了
,14,Room- BoxCar,Open train door- Guy gets shot,The lights are too bright to see anything,灯太亮，什么都看不见
,15,Room- BoxCar,Open train door- Guy gets shot,The door stands open,门开着
,16,Room- BoxCar,Open train door- Guy gets shot,Can't reach it from here,从这儿够不着
,17,Room- BoxCar,Open train door- Guy gets shot,Body,尸体
Narr,33,Room- BoxCar,Open train door- Guy gets shot,Sudden blinding light stabs at my eyes. I spin back behind the door,刺眼的强光猛地扎进眼睛。我一个转身缩回门后
Narr,34,Room- BoxCar,Open train door- Guy gets shot,"The old guy, having finally freed himself, is caught like a rabbit in headlights",那老头总算挣脱出来，却像撞上车灯的兔子一样僵在原地
TrainHobo,0,Room- BoxCar,Open train door- Guy gets shot,What've you done?,你干了什么？
Mick,9,Room- BoxCar,Open train door- Guy gets shot,"Ah shit, security",啊，糟了，是保安
Narr,35,Room- BoxCar,Open train door- Guy gets shot,The man looks around frantically,那人慌乱地四下张望
Mick,10,Room- BoxCar,Open train door- Guy gets shot,"Relax, I've been caught freighthopping before and talked my way out of it",别慌，我以前扒车被逮过，嘴皮子一动就糊弄过去了
Mick,11,Room- BoxCar,Open train door- Guy gets shot,"Hey, we're with Western Rail!",嘿，我们是西部铁路的！
Mick,12,Room- BoxCar,There's a gunshot!,"Jesus, what the hell!?",老天，搞什么鬼！？
TrainHobo,1,Room- BoxCar,There's a gunshot!,You've got to break the cycle! I can't-,你必须打破这个循环！我没办法——
Mick,13,Room- BoxCar,Hobo's torn apart by gunfire,Oh God!,天啊！
Narr,36,Room- BoxCar,Hobo's torn apart by gunfire,"I want to open the door, not block it further",我是想把门打开，不是把它堵得更死
Narr,37,Room- BoxCar,DoorSwapSides,Bullets shatter past me as I dive across the doorway,我扑过门口时，子弹擦着我炸开
,18,Room- BoxCar,DoorSwapSides,Nothing in my pack to help me out of this mess,包里没有能帮我脱困的东西
Narr,38,Room- BoxCar,ExitBoxCar,"Grabbing my pack, I throw open the hatch and leap into the blackness on the far side of the train",我抓起背包，撞开舱口，跳进车厢另一侧的黑暗里
Narr,39,Room- BoxCar,ExitBoxCar,"Then I'm tumbling down a steep siding, concrete rushing up to meet me",接着我顺着陡坡翻滚而下，水泥地迎面扑来
Narr,40,Room- BoxCar,OnInteractPropTarpFloor,I grab the tarp,我抓起防水布
Narr,41,Room- BoxCar,OnUseInvHotspotBed,The tarpaulin smells worse than those rags. I was happy to let the old drifter have it,这防水布比那堆破布还臭。让那老流浪汉留着吧
Narr,42,Room- BoxCar,OnUseInvHotspotPack,"Pack's full, the tarp wouldn't fit",包塞满了，防水布放不进去
Narr,43,Room- BoxCar,OnUseInvHotspotHatch,I'm sure I could get it open if I wanted,我要是想开，肯定开得了
Narr,44,Room- BoxCar,OnUseInvHotspotHatch,But the door would be easier,不过走门更省事
